# Total Phase Data Center(tm) v8.00
# (c) 2005-2025 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data,ASCII
0,"73","0:02.018.785","218.000 us","1 B","","SP","50","Read Transaction",00*,"."
0,"74","0:02.019.630","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"75","0:02.020.473","278.200 us","1 B","","S","50","Write Transaction",02,"."
0,"76","0:02.020.751","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"77","0:02.021.602","321.700 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"78","0:02.022.509","278.100 us","1 B","","S","50","Write Transaction",9D,"."
0,"79","0:02.022.787","218.100 us","1 B","","SP","50","Read Transaction",06*,"."
0,"80","0:02.023.632","321.700 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"81","0:02.024.462","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"82","0:02.024.740","218.100 us","1 B","","SP","50","Read Transaction",04*,"."
0,"83","0:02.025.586","321.700 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"84","0:02.026.488","278.100 us","1 B","","S","50","Write Transaction",9E,"."
0,"85","0:02.026.766","218.000 us","1 B","","SP","50","Read Transaction",06*,"."
0,"86","0:02.027.616","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"87","0:02.028.463","278.200 us","1 B","","S","50","Write Transaction",02,"."
0,"88","0:02.028.741","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"89","0:02.029.587","321.700 us","2 B","","SP","50","Write Transaction",7F 11,".."
0,"90","0:02.030.494","278.100 us","1 B","","S","50","Write Transaction",94,"."
0,"91","0:02.030.772","218.100 us","1 B","","SP","50","Read Transaction",00*,"."
0,"92","0:02.031.617","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"93","0:02.033.282","278.200 us","1 B","","S","50","Write Transaction",02,"."
0,"94","0:02.033.561","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"95","0:02.034.411","321.700 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"96","0:02.035.318","278.200 us","1 B","","S","50","Write Transaction",8E,"."
0,"97","0:02.035.596","218.000 us","1 B","","SP","50","Read Transaction",64*,"d"
0,"98","0:02.036.416","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"99","0:02.037.428","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"100","0:02.037.707","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"101","0:02.038.555","321.700 us","2 B","","SP","50","Write Transaction",7F 01,".."
0,"102","0:02.039.457","278.200 us","1 B","","S","50","Write Transaction",8E,"."
0,"103","0:02.039.735","218.000 us","1 B","","SP","50","Read Transaction",64*,"d"
0,"104","0:02.040.424","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"105","0:02.041.371","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"106","0:02.041.649","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"107","0:02.042.495","321.800 us","2 B","","SP","50","Write Transaction",7F 2F,"./"
0,"108","0:02.043.400","278.100 us","1 B","","S","50","Write Transaction",80,"."
0,"109","0:02.043.678","218.100 us","1 B","","SP","50","Read Transaction",07*,"."
0,"110","0:02.044.419","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"111","0:02.045.424","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"112","0:02.045.703","218.100 us","1 B","","SP","50","Read Transaction",04*,"."
0,"113","0:02.046.557","321.800 us","2 B","","SP","50","Write Transaction",7F 2C,".,"
0,"114","0:02.047.466","278.100 us","1 B","","S","50","Write Transaction",80,"."
0,"115","0:02.047.744","13.389.200 ms","128 B","","SP","50","Read Transaction",55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 00 00 00 00 AA AA AA AA AA AA AA AA 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 00 00 00 00 AA AA AA AA AA AA AA AA 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55 55*,"UUUUUUUUUUUUUUUUUUUUUUUU"
0,"116","0:02.076.590","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"117","0:02.077.536","278.200 us","1 B","","S","50","Write Transaction",02,"."
0,"118","0:02.077.814","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"119","0:02.078.658","321.800 us","2 B","","SP","50","Write Transaction",7F 20,". "
0,"120","0:02.079.557","278.100 us","1 B","","S","50","Write Transaction",80,"."
0,"121","0:02.079.835","13.389.100 ms","128 B","","SP","50","Read Transaction",00 09 01 09 02 09 03 09 04 09 05 09 06 09 07 09 10 0B 11 0B 12 0B 13 0B 14 0B 15 0B 16 0B 17 0B 20 0D 21 0D 22 0D 23 0D 24 0D 25 0D 26 0D 27 0D 30 0F 31 0F 32 0F 33 0F 34 0F 35 0F 36 0F 37 0F 40 0A 41 0A 42 0A 43 0A 44 0A 45 0A 46 0A 47 0A 50 0C 51 0C 52 0C 53 0C 54 0C 55 0C 56 0C 57 0C 60 0E 61 0E 62 0E 63 0E 64 0E 65 0E 66 0E 67 0E 70 10 71 10 72 10 73 10 74 10 75 10 76 10 77 10*,"........................"
0,"122","0:02.108.597","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"123","0:02.109.651","278.200 us","1 B","","S","50","Write Transaction",02,"."
0,"124","0:02.109.929","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"125","0:02.110.780","321.700 us","2 B","","SP","50","Write Transaction",7F 21,".!"
0,"126","0:02.111.682","278.100 us","1 B","","S","50","Write Transaction",80,"."
0,"127","0:02.111.960","13.389.200 ms","128 B","","SP","50","Read Transaction",00 11 01 11 02 11 03 11 04 11 05 11 06 11 07 11 10 13 11 13 12 13 13 13 14 13 15 13 16 13 17 13 20 15 21 15 22 15 23 15 24 15 25 15 26 15 27 15 30 17 31 17 32 17 33 17 34 17 35 17 36 17 37 17 40 19 41 19 42 19 43 19 44 19 45 19 46 19 47 19 50 04 51 04 52 04 53 04 00 00 00 00 00 00 00 00 60 05 61 05 62 05 63 05 64 05 65 05 66 05 67 05 70 07 71 07 72 07 73 07 74 07 75 07 76 07 77 07*,"........................"
0,"128","0:02.140.605","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"129","0:02.141.635","278.200 us","1 B","","S","50","Write Transaction",02,"."
0,"130","0:02.141.914","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"131","0:02.142.764","321.700 us","2 B","","SP","50","Write Transaction",7F 22,"."""
0,"132","0:02.143.670","278.100 us","1 B","","S","50","Write Transaction",80,"."
0,"133","0:02.143.948","13.389.200 ms","128 B","","SP","50","Read Transaction",00 12 01 12 02 12 03 12 04 12 05 12 06 12 07 12 10 14 11 14 12 14 13 14 14 14 15 14 16 14 17 14 20 16 21 16 22 16 23 16 24 16 25 16 26 16 27 16 30 18 31 18 32 18 33 18 34 18 35 18 36 18 37 18 40 1A 41 1A 42 1A 43 1A 44 1A 45 1A 46 1A 47 1A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 60 06 61 06 62 06 63 06 64 06 65 06 66 06 67 06 70 08 71 08 72 08 73 08 74 08 75 08 76 08 77 08*,"........................"
0,"134","0:02.172.609","321.800 us","2 B","","SP","50","Write Transaction",7F 00,".."
0,"135","0:02.173.630","278.100 us","1 B","","S","50","Write Transaction",02,"."
0,"136","0:02.173.908","218.000 us","1 B","","SP","50","Read Transaction",04*,"."
0,"137","0:02.174.759","321.800 us","2 B","","SP","50","Write Transaction",7F 23,".#"
0,"138","0:02.175.665","278.100 us","1 B","","S","50","Write Transaction",80,"."
